DesignIndex,RadiusSetId,RadiusSet_um,TargetFillFactor,MinDistanceFactor,Seed,IslandCount,ActualFillFactor,TopKPeakRatio,PeakBackgroundRatioPenalty,HazeRisk,HazeRiskPenalty,Objective
95,1,[1 1.5],0.45,1,5,751,0.38239990234375,0.597093098994539,0.179588621833384,0.146938125017831,0.00167323952123126,0.66831531424238
65,1,[1 1.5],0.4,1,5,749,0.38099609375,0.597314405710134,0.179482047346091,0.146886402265277,0.00166901073217136,0.668478175942122
61,1,[1 1.5],0.4,1,1,748,0.38221435546875,0.600662911763104,0.175037372058643,0.148620184809099,0.00181367900072189,0.670994386987239
91,1,[1 1.5],0.45,1,1,749,0.382919921875,0.600662911763104,0.175037372058643,0.148620184809099,0.00181367900072189,0.670994386987239
33,1,[1 1.5],0.35,1,3,691,0.34959228515625,0.603609395557798,0.172365282889591,0.144800979582215,0.00150296597290227,0.671452074433666
94,1,[1 1.5],0.45,1,4,742,0.374599609375,0.602104736058576,0.180744611609873,0.141864100180172,0.00128387673488632,0.671784733796463
62,1,[1 1.5],0.4,1,2,747,0.378779296875,0.599936495279385,0.188045981694377,0.141247008831653,0.00124003525785092,0.671952765161671
92,1,[1 1.5],0.45,1,2,747,0.378779296875,0.599936495279385,0.188045981694377,0.141247008831653,0.00124003525785092,0.671952765161671
63,1,[1 1.5],0.4,1,3,733,0.37098388671875,0.599859831495249,0.189411619887149,0.142350927661655,0.00131900098661129,0.672748903388807
93,1,[1 1.5],0.45,1,3,734,0.37168701171875,0.599859831495249,0.189411619887149,0.142350927661655,0.00131900098661129,0.672748903388807
64,1,[1 1.5],0.4,1,4,741,0.373896484375,0.602984701941543,0.181973641135749,0.14164374729923,0.00126813426265885,0.67301614765235
38,1,[1 1.5],0.35,1,8,680,0.34943359375,0.60418597087759,0.178693781392061,0.142742928967629,0.00134762810018722,0.673466934865747
35,1,[1 1.5],0.35,1,5,682,0.34904296875,0.604872804992526,0.165263723029002,0.15408285416235,0.00230880054708491,0.674259110788102
32,1,[1 1.5],0.35,1,2,687,0.3494384765625,0.604220836877147,0.183329740062791,0.143261795808887,0.00138599258301082,0.675316208814178
31,1,[1 1.5],0.35,1,1,685,0.34915771484375,0.604040263675818,0.177114886153792,0.149315492190199,0.00187338499549657,0.675397398807128
69,1,[1 1.5],0.4,1,9,754,0.38070068359375,0.602128959983973,0.194144675674357,0.139633168343094,0.00112897974741406,0.675724495207068
99,1,[1 1.5],0.45,1,9,756,0.38171875,0.602128959983973,0.194144675674357,0.139633168343094,0.00112897974741406,0.675724495207068
8,1,[1 1.5],0.3,1,8,583,0.29906005859375,0.613865395870881,0.150561396928155,0.149220555390587,0.00186517578208478,0.675887763706159
70,1,[1 1.5],0.4,1,10,743,0.3714404296875,0.606141523418094,0.186672052060107,0.136725483620989,0.000942036255632831,0.676186922917295
100,1,[1 1.5],0.45,1,10,745,0.372470703125,0.606141523418094,0.186672052060107,0.136725483620989,0.000942036255632831,0.676186922917295
39,1,[1 1.5],0.35,1,9,688,0.349453125,0.607839557917765,0.173685951013675,0.148316287188282,0.00178788698991635,0.677569075722133
34,1,[1 1.5],0.35,1,4,696,0.3492041015625,0.606951531792476,0.181698182315901,0.143544409587877,0.00140711526584552,0.677581471932269
