wave	n	k
381	1.600135	0.029296
382	1.598267	0.029257
384	1.596337	0.029341
385	1.594378	0.029565
387	1.59242	0.029935
389	1.590493	0.030445
390	1.588622	0.031085
392	1.586826	0.031835
393	1.585116	0.032676
395	1.583497	0.033587
397	1.581968	0.034547
398	1.580522	0.035541
400	1.579149	0.036555
401	1.577836	0.037581
403	1.576569	0.038617
404	1.575338	0.039665
406	1.574129	0.040732
408	1.572937	0.041828
409	1.571761	0.042964
411	1.570601	0.044153
412	1.569467	0.045406
414	1.568369	0.046731
416	1.56732	0.048133
417	1.56634	0.049611
419	1.565442	0.051159
420	1.564643	0.052763
422	1.563949	0.054409
424	1.563366	0.056077
425	1.562894	0.057745
427	1.562522	0.059397
428	1.562237	0.061015
430	1.562017	0.062592
431	1.561844	0.064127
433	1.561694	0.065625
435	1.561554	0.067103
436	1.56141	0.068581
438	1.561263	0.070083
439	1.561119	0.071636
441	1.560997	0.073259
443	1.560924	0.074968
444	1.560929	0.076769
446	1.561048	0.078653
447	1.561311	0.080605
449	1.561743	0.082595
450	1.562361	0.084587
452	1.563166	0.086541
454	1.564154	0.088418
455	1.565304	0.090182
457	1.566589	0.091805
458	1.567977	0.093268
460	1.569431	0.094564
462	1.570921	0.095694
463	1.572418	0.096663
465	1.573897	0.097485
466	1.575339	0.098172
468	1.576729	0.098738
470	1.57805	0.099197
471	1.579287	0.099564
473	1.580423	0.099856
474	1.581442	0.1001
476	1.582331	0.100329
477	1.583086	0.100583
479	1.583717	0.100908
481	1.584248	0.101353
482	1.584725	0.101954
484	1.585206	0.102735
485	1.585756	0.103695
487	1.586442	0.104807
489	1.587313	0.106023
490	1.588395	0.107278
492	1.589688	0.108504
493	1.591165	0.109644
495	1.592783	0.110662
496	1.594496	0.111549
498	1.596267	0.112318
500	1.598081	0.112997
501	1.599948	0.113612
503	1.601901	0.11417
504	1.603982	0.114651
506	1.606224	0.115002
508	1.608632	0.115144
509	1.611176	0.114984
511	1.613778	0.114438
512	1.616323	0.113453
514	1.618669	0.112015
515	1.620671	0.110169
517	1.622196	0.108008
519	1.62315	0.105668
520	1.623478	0.103313
522	1.623179	0.101116
523	1.622301	0.099241
525	1.620929	0.097833
527	1.61918	0.097005
528	1.617186	0.096841
530	1.615093	0.09739
531	1.613049	0.098673
533	1.611199	0.100688
534	1.609689	0.103404
536	1.608659	0.106769
538	1.608247	0.110705
539	1.608581	0.115103
541	1.609767	0.119823
542	1.611887	0.124698
544	1.614981	0.129536
546	1.619041	0.13414
547	1.624008	0.13832
549	1.629779	0.141918
550	1.636223	0.144818
552	1.64321	0.14695
553	1.650623	0.14828
555	1.658374	0.148786
557	1.666392	0.148434
558	1.674606	0.14717
560	1.682911	0.14493
561	1.691174	0.141667
563	1.699246	0.137374
565	1.706998	0.132079
566	1.714335	0.125806
568	1.721173	0.118536
569	1.727364	0.110198
571	1.732638	0.100736
572	1.736609	0.090219
574	1.738865	0.078933
576	1.739116	0.067387
577	1.737318	0.056216
579	1.73371	0.046025
580	1.728748	0.037247
582	1.722981	0.030067
584	1.71692	0.024439
585	1.710953	0.02016
587	1.705315	0.016958
588	1.700113	0.014572
590	1.69537	0.012782
591	1.69106	0.011427
593	1.68714	0.010389
595	1.683566	0.00959
596	1.680297	0.008973
598	1.677299	0.008496
599	1.67454	0.008128
601	1.671997	0.007844
603	1.669646	0.007626
604	1.667465	0.007457
606	1.665438	0.007326
607	1.66355	0.007224
609	1.661784	0.007143
610	1.66013	0.007077
612	1.658576	0.007022
614	1.657111	0.006974
615	1.655726	0.006932
617	1.654417	0.006894
618	1.653173	0.006857
620	1.65199	0.006822
622	1.650864	0.006787
623	1.649787	0.006751
625	1.648758	0.006715
626	1.647772	0.006679
628	1.646825	0.006641
629	1.645917	0.006602
631	1.645041	0.006563
633	1.644199	0.006522
634	1.643386	0.00648
636	1.642601	0.006437
637	1.641842	0.006393
639	1.641107	0.006347
641	1.640395	0.006301
642	1.639706	0.006254
644	1.639037	0.006206
645	1.638388	0.006158
647	1.637756	0.006108
648	1.637142	0.006058
650	1.636544	0.006007
652	1.635963	0.005955
653	1.635396	0.005903
655	1.634843	0.00585
656	1.634304	0.005796
658	1.633777	0.005742
659	1.633262	0.005688
661	1.63276	0.005633
663	1.632268	0.005578
664	1.631788	0.005522
666	1.631317	0.005466
667	1.630857	0.00541
669	1.630405	0.005354
671	1.629963	0.005297
672	1.629529	0.00524
674	1.629104	0.005184
675	1.628687	0.005127
677	1.628277	0.00507
678	1.627875	0.005012
680	1.62748	0.004955
682	1.627092	0.004898
683	1.62671	0.004841
685	1.626334	0.004784
686	1.625965	0.004727
688	1.625603	0.00467
689	1.625245	0.004614
691	1.624894	0.004557
693	1.624547	0.004501
694	1.624206	0.004444
696	1.62387	0.004388
697	1.623539	0.004333
699	1.623213	0.004277
701	1.622891	0.004222
702	1.622573	0.004167
704	1.622261	0.004112
705	1.621953	0.004058
707	1.621648	0.004004
708	1.621348	0.00395
710	1.621051	0.003897
712	1.620758	0.003844
713	1.620469	0.003791
715	1.620184	0.003739
716	1.619901	0.003687
718	1.619623	0.003636
719	1.619348	0.003585
721	1.619076	0.003534
723	1.618807	0.003484
724	1.618541	0.003434
726	1.618279	0.003385
727	1.618019	0.003336
729	1.617763	0.003287
731	1.617509	0.00324
732	1.617258	0.003192
734	1.61701	0.003145
735	1.616764	0.003099
737	1.616521	0.003052
738	1.616281	0.003007
740	1.616042	0.002962
742	1.615807	0.002917
743	1.615574	0.002873
745	1.615343	0.002829
746	1.615115	0.002786
748	1.614889	0.002744
749	1.614665	0.002702
751	1.614443	0.00266
753	1.614225	0.002619
754	1.614007	0.002578
756	1.613792	0.002538
757	1.613579	0.002498
759	1.613368	0.002459
760	1.613159	0.00242
762	1.612952	0.002382
764	1.612747	0.002344
765	1.612544	0.002307
767	1.612343	0.00227
768	1.612143	0.002234
770	1.611946	0.002198
771	1.61175	0.002163
773	1.611556	0.002128
775	1.611364	0.002094
776	1.611173	0.00206
778	1.610983	0.002026
779	1.610796	0.001993
781	1.610611	0.001961
