wave	R	T
aoi	0	
380	0.7167936	0.000243781
381	0.717842	0.000247792
382	0.7201765	0.000244752
383	0.7237478	0.000235133
384	0.7272853	0.000225897
385	0.7307884	0.00021703
386	0.734258	0.000208517
387	0.7376941	0.000200343
388	0.7412969	0.000192482
389	0.7450331	0.00018491
390	0.7487359	0.00017762
391	0.7524052	0.000170603
392	0.7560399	0.000163848
393	0.7596412	0.000157346
394	0.7631388	0.000151195
395	0.7664958	0.000145432
396	0.7698198	0.00013988
397	0.7731116	0.000134532
398	0.7763711	0.000129381
399	0.7795975	0.000124418
400	0.7827404	0.000119697
401	0.7848315	0.000116292
402	0.7868987	0.000112994
403	0.7889421	0.000109798
404	0.7909624	0.000106702
405	0.7929599	0.000103702
406	0.794934	0.000100795
407	0.7968294	9.80674e-05
408	0.7986454	9.55128e-05
409	0.8004407	9.30324e-05
410	0.8022148	9.0624e-05
411	0.8039688	8.82852e-05
412	0.8057027	8.60139e-05
413	0.8074165	8.3808e-05
414	0.8095858	8.13178e-05
415	0.8119196	7.87698e-05
416	0.8142285	7.63024e-05
417	0.816512	7.39129e-05
418	0.8187711	7.15989e-05
419	0.821006	6.93578e-05
420	0.8232167	6.71874e-05
421	0.8253703	6.51901e-05
422	0.8274881	6.32933e-05
423	0.8295839	6.14512e-05
424	0.8316572	5.96622e-05
425	0.8337088	5.79248e-05
426	0.835739	5.62374e-05
427	0.8377478	5.45987e-05
428	0.8394469	5.32828e-05
429	0.8407981	5.23116e-05
430	0.8421348	5.13602e-05
431	0.8434569	5.04282e-05
432	0.8447647	4.95152e-05
433	0.8460586	4.86207e-05
434	0.8473387	4.77444e-05
435	0.8486048	4.68858e-05
436	0.849841	4.6072e-05
437	0.8510635	4.52751e-05
438	0.852273	4.44937e-05
439	0.8534696	4.37276e-05
440	0.8546536	4.29763e-05
441	0.8558254	4.22396e-05
442	0.8569845	4.15172e-05
443	0.8582164	4.07414e-05
444	0.8597819	3.97104e-05
445	0.8613313	3.87058e-05
446	0.8628645	3.77267e-05
447	0.8643819	3.67725e-05
448	0.8658838	3.58427e-05
449	0.8673701	3.49364e-05
450	0.868841	3.40531e-05
451	0.8703071	3.31869e-05
452	0.871818	3.23119e-05
453	0.8733134	3.14594e-05
454	0.8747936	3.06289e-05
455	0.8762588	2.98199e-05
456	0.8777091	2.90317e-05
457	0.8791445	2.82638e-05
458	0.8805655	2.75157e-05
459	0.8819721	2.67869e-05
460	0.883302	2.61297e-05
461	0.8846029	2.55015e-05
462	0.8858911	2.48879e-05
463	0.8871665	2.42887e-05
464	0.8884292	2.37035e-05
465	0.8896796	2.31319e-05
466	0.8909178	2.25737e-05
467	0.8921437	2.20284e-05
468	0.89334	2.15057e-05
469	0.8944098	2.10585e-05
470	0.8954692	2.06207e-05
471	0.8965182	2.01919e-05
472	0.8975571	1.9772e-05
473	0.8985861	1.93609e-05
474	0.899605	1.89582e-05
475	0.900614	1.85638e-05
476	0.9016134	1.81776e-05
477	0.9025669	1.78166e-05
478	0.9032771	1.75723e-05
479	0.9039805	1.73319e-05
480	0.9046772	1.70952e-05
481	0.9053672	1.68621e-05
482	0.9060506	1.66327e-05
483	0.9067276	1.64068e-05
484	0.9073982	1.61845e-05
485	0.9080623	1.59655e-05
486	0.9087202	1.57499e-05
487	0.9093006	1.55625e-05
488	0.9098559	1.53847e-05
489	0.9104059	1.52093e-05
490	0.9109506	1.50364e-05
491	0.9114903	1.48659e-05
492	0.9120249	1.46978e-05
493	0.9125544	1.4532e-05
494	0.9130791	1.43685e-05
495	0.9135989	1.42073e-05
496	0.9141152	1.40464e-05
497	0.9146504	1.38579e-05
498	0.9151805	1.36725e-05
499	0.9157054	1.349e-05
500	0.9162254	1.33106e-05
501	0.9167406	1.3134e-05
502	0.9172509	1.29603e-05
503	0.9177563	1.27893e-05
504	0.918257	1.26211e-05
505	0.9187531	1.24557e-05
506	0.9192445	1.22928e-05
507	0.9197204	1.2139e-05
508	0.9201913	1.19879e-05
509	0.9206579	1.18392e-05
510	0.9211202	1.16928e-05
511	0.9215782	1.15485e-05
512	0.9220322	1.14065e-05
513	0.922482	1.12666e-05
514	0.9229278	1.11289e-05
515	0.9233696	1.09932e-05
516	0.9238074	1.08595e-05
517	0.9242268	1.07403e-05
518	0.9246204	1.06414e-05
519	0.9250108	1.05437e-05
520	0.9253978	1.04471e-05
521	0.9257815	1.03517e-05
522	0.9261621	1.02574e-05
523	0.9265395	1.01642e-05
524	0.9269137	1.00721e-05
525	0.9272849	9.98112e-06
526	0.9276529	9.89116e-06
527	0.928018	9.80224e-06
528	0.9283961	9.71155e-06
529	0.9287948	9.61781e-06
530	0.9291904	9.52516e-06
531	0.9295828	9.4336e-06
532	0.929972	9.3431e-06
533	0.9303581	9.25366e-06
534	0.9307412	9.16525e-06
535	0.9311212	9.07787e-06
536	0.9314983	8.9915e-06
537	0.9318724	8.90612e-06
538	0.9322436	8.82173e-06
539	0.9326118	8.7383e-06
540	0.9331127	8.61586e-06
541	0.9336193	8.4924e-06
542	0.9341218	8.37074e-06
543	0.9346204	8.25086e-06
544	0.9351151	8.13274e-06
545	0.935606	8.01633e-06
546	0.936093	7.90163e-06
547	0.9365763	7.78859e-06
548	0.9370558	7.6772e-06
549	0.9375316	7.56742e-06
550	0.9380037	7.45924e-06
551	0.9384722	7.35262e-06
552	0.9389201	7.25237e-06
553	0.9393636	7.15375e-06
554	0.9398038	7.05651e-06
555	0.9402407	6.96063e-06
556	0.9406743	6.86609e-06
557	0.9411045	6.77286e-06
558	0.9415315	6.68093e-06
559	0.9419553	6.59028e-06
560	0.9423758	6.50088e-06
561	0.9427933	6.41272e-06
562	0.9432075	6.32579e-06
563	0.9436187	6.24005e-06
564	0.9439702	6.16912e-06
565	0.9442448	6.11689e-06
566	0.9445173	6.06521e-06
567	0.9447878	6.01408e-06
568	0.9450563	5.96349e-06
569	0.945323	5.91343e-06
570	0.9455877	5.8639e-06
571	0.9458504	5.81489e-06
572	0.9461113	5.76639e-06
573	0.9463704	5.71839e-06
574	0.9466275	5.6709e-06
575	0.9468829	5.6239e-06
576	0.9471364	5.57739e-06
577	0.9473639	5.53705e-06
578	0.9475393	5.50883e-06
579	0.9477135	5.48084e-06
580	0.9478866	5.45307e-06
581	0.9480585	5.42551e-06
582	0.9482292	5.39818e-06
583	0.9483988	5.37105e-06
584	0.9485673	5.34414e-06
585	0.9487346	5.31744e-06
586	0.9489008	5.29095e-06
587	0.9490659	5.26466e-06
588	0.94923	5.23857e-06
589	0.9493929	5.21269e-06
590	0.9495548	5.18701e-06
591	0.9496677	5.17318e-06
592	0.9497472	5.16736e-06
593	0.9498263	5.16154e-06
594	0.949905	5.15573e-06
595	0.9499832	5.14992e-06
596	0.9500609	5.14412e-06
597	0.9501382	5.13833e-06
598	0.9502151	5.13254e-06
599	0.9502916	5.12675e-06
600	0.9503676	5.12098e-06
601	0.9504432	5.1152e-06
602	0.9505185	5.10944e-06
603	0.9505933	5.10368e-06
604	0.9506677	5.09793e-06
605	0.9507387	5.09256e-06
606	0.9507969	5.08875e-06
607	0.9508547	5.08493e-06
608	0.9509123	5.0811e-06
609	0.9509697	5.07725e-06
610	0.9510268	5.0734e-06
611	0.9510836	5.06953e-06
612	0.9511402	5.06565e-06
613	0.9511965	5.06176e-06
614	0.9512526	5.05786e-06
615	0.9513085	5.05394e-06
616	0.9513641	5.05002e-06
617	0.9514195	5.04609e-06
618	0.9514747	5.04214e-06
619	0.9515296	5.03819e-06
620	0.9515864	5.03338e-06
621	0.9516696	5.01796e-06
622	0.9517523	5.00261e-06
623	0.9518347	4.98735e-06
624	0.9519167	4.97216e-06
625	0.9519982	4.95705e-06
626	0.9520794	4.94202e-06
627	0.9521603	4.92706e-06
628	0.9522407	4.91218e-06
629	0.9523208	4.89737e-06
630	0.9524005	4.88263e-06
631	0.9524798	4.86797e-06
632	0.9525588	4.85339e-06
633	0.9526375	4.83887e-06
634	0.9527157	4.82443e-06
635	0.9527937	4.81006e-06
636	0.9528769	4.7945e-06
637	0.9529859	4.77322e-06
638	0.9530943	4.7521e-06
639	0.9532021	4.73112e-06
640	0.9533094	4.7103e-06
641	0.9534161	4.68962e-06
642	0.9535223	4.66909e-06
643	0.9536279	4.6487e-06
644	0.953733	4.62846e-06
645	0.9538375	4.60836e-06
646	0.9539416	4.5884e-06
647	0.9540451	4.56858e-06
648	0.954148	4.5489e-06
649	0.9542505	4.52936e-06
650	0.9543525	4.50995e-06
651	0.9544539	4.49067e-06
652	0.9545549	4.47153e-06
653	0.9546848	4.44766e-06
654	0.9548504	4.41798e-06
655	0.9550151	4.38856e-06
656	0.9551789	4.3594e-06
657	0.9553417	4.3305e-06
658	0.9555036	4.30186e-06
659	0.9556646	4.27347e-06
660	0.9558248	4.24533e-06
661	0.955984	4.21743e-06
662	0.9561423	4.18978e-06
663	0.9562998	4.16237e-06
