wave	n	k
381	1.613655	0.050038
382	1.612321	0.050107
384	1.610964	0.050342
385	1.60963	0.050738
387	1.608349	0.051273
389	1.607137	0.051918
390	1.605988	0.052651
392	1.604891	0.053463
393	1.603834	0.05436
395	1.602815	0.055359
397	1.601849	0.05648
398	1.600964	0.057737
400	1.600196	0.059132
401	1.599584	0.060645
403	1.599159	0.062245
404	1.598937	0.063888
406	1.598918	0.065527
408	1.599082	0.067117
409	1.599395	0.068624
411	1.599809	0.070031
412	1.600274	0.071345
414	1.600742	0.072595
416	1.601184	0.073835
417	1.601601	0.075135
419	1.602029	0.076567
420	1.602546	0.078184
422	1.603259	0.080002
424	1.604285	0.081985
425	1.605727	0.084042
427	1.607645	0.086034
428	1.610039	0.087803
430	1.612844	0.089194
431	1.615937	0.090089
433	1.619163	0.09042
435	1.62235	0.090183
436	1.625339	0.089431
438	1.628006	0.088266
439	1.630262	0.086824
441	1.632075	0.085257
443	1.63346	0.08372
444	1.634485	0.082355
446	1.63526	0.081272
447	1.635929	0.080539
449	1.636656	0.08017
450	1.6376	0.08012
452	1.638899	0.080289
454	1.640647	0.08053
455	1.642885	0.080673
457	1.64559	0.080541
458	1.648682	0.079977
460	1.652035	0.078858
462	1.655495	0.077107
463	1.658896	0.074703
465	1.662077	0.07167
466	1.664901	0.068074
468	1.667257	0.06401
470	1.669068	0.059591
471	1.670287	0.054937
473	1.670901	0.050167
474	1.670919	0.045391
476	1.67037	0.04071
477	1.669302	0.036207
479	1.66777	0.031954
481	1.665839	0.028006
482	1.663578	0.024402
484	1.661058	0.021168
485	1.658349	0.018315
487	1.655517	0.015842
489	1.652622	0.013734
490	1.649718	0.011972
492	1.646848	0.010525
493	1.644048	0.009359
495	1.641345	0.00844
496	1.638755	0.007732
498	1.636288	0.007198
500	1.633947	0.006807
501	1.63173	0.006531
503	1.629633	0.006345
504	1.627646	0.006229
506	1.62576	0.006167
508	1.623965	0.006144
509	1.622249	0.006151
511	1.620604	0.006181
512	1.619018	0.006227
514	1.617483	0.006286
515	1.615991	0.006356
517	1.614535	0.006435
519	1.613106	0.006523
520	1.611701	0.006621
522	1.610311	0.006728
523	1.608934	0.006847
525	1.607564	0.00698
527	1.606196	0.00713
528	1.604828	0.007299
530	1.603457	0.007491
531	1.60208	0.007711
533	1.600695	0.007963
534	1.599303	0.008252
536	1.597902	0.008583
538	1.596496	0.008962
539	1.595084	0.009394
541	1.593672	0.009883
542	1.592263	0.010435
544	1.590863	0.011054
