WAVE	N	K
381	1.592111	0.315548
382	1.592999	0.315691
383	1.593884	0.315808
384	1.594764	0.315899
385	1.595638	0.315968
386	1.596503	0.316014
387	1.597359	0.316041
388	1.598205	0.31605
389	1.599039	0.316041
390	1.599862	0.316017
391	1.600673	0.315979
392	1.60147	0.315927
393	1.602255	0.315864
394	1.603026	0.31579
395	1.603783	0.315707
396	1.604527	0.315615
397	1.605256	0.315515
398	1.605972	0.315409
399	1.606674	0.315298
400	1.607362	0.315182
401	1.608036	0.315062
402	1.608696	0.314939
403	1.609343	0.314814
404	1.609976	0.314688
405	1.610597	0.314561
406	1.611205	0.314434
407	1.611799	0.314308
408	1.612382	0.314184
409	1.612953	0.314062
410	1.613512	0.313942
411	1.614061	0.313826
412	1.614598	0.313714
413	1.615125	0.313606
414	1.615643	0.313503
415	1.61615	0.313406
416	1.61665	0.313314
417	1.617141	0.313229
418	1.617624	0.31315
419	1.6181	0.313078
420	1.61857	0.313014
421	1.619035	0.312958
422	1.619495	0.31291
423	1.619952	0.31287
424	1.620406	0.312837
425	1.620859	0.312811
426	1.62131	0.312792
427	1.62176	0.312779
428	1.622209	0.312771
429	1.622658	0.31277
430	1.623107	0.312773
431	1.623557	0.312781
432	1.624006	0.312794
433	1.624456	0.31281
434	1.624907	0.312831
435	1.625359	0.312855
436	1.625811	0.312882
437	1.626265	0.312913
438	1.626719	0.312946
439	1.627175	0.312982
440	1.627632	0.31302
441	1.62809	0.31306
442	1.628549	0.313102
443	1.62901	0.313146
444	1.629472	0.313191
445	1.629935	0.313237
446	1.630399	0.313284
447	1.630865	0.313332
448	1.631332	0.313381
449	1.6318	0.31343
450	1.63227	0.31348
451	1.63274	0.31353
452	1.633211	0.313579
453	1.633684	0.313629
454	1.634158	0.313678
455	1.634632	0.313727
456	1.635107	0.313775
457	1.635583	0.313822
458	1.63606	0.313869
459	1.636537	0.313915
460	1.637015	0.313959
461	1.637493	0.314003
462	1.637972	0.314045
463	1.638451	0.314086
464	1.63893	0.314125
465	1.639409	0.314162
466	1.639888	0.314198
467	1.640367	0.314232
468	1.640845	0.314265
469	1.641323	0.314295
470	1.6418	0.314323
471	1.642276	0.31435
472	1.642751	0.314374
473	1.643225	0.314396
474	1.643698	0.314416
475	1.644168	0.314435
476	1.644637	0.314452
477	1.645104	0.314467
478	1.64557	0.314481
479	1.646033	0.314493
480	1.646494	0.314504
481	1.646953	0.314514
482	1.64741	0.314522
483	1.647865	0.31453
484	1.648318	0.314536
485	1.648768	0.314542
486	1.649217	0.314546
487	1.649663	0.31455
488	1.650107	0.314554
489	1.650548	0.314556
490	1.650988	0.314558
491	1.651425	0.31456
492	1.65186	0.314561
493	1.652293	0.314561
494	1.652723	0.314561
495	1.653151	0.314561
496	1.653577	0.314561
497	1.654001	0.31456
498	1.654423	0.31456
499	1.654842	0.314559
500	1.655259	0.314558
501	1.655674	0.314557
502	1.656088	0.314556
503	1.656498	0.314555
504	1.656907	0.314554
505	1.657314	0.314554
506	1.657718	0.314553
507	1.658121	0.314553
508	1.658522	0.314553
509	1.65892	0.314554
510	1.659317	0.314554
511	1.659712	0.314556
512	1.660105	0.314557
513	1.660495	0.314559
514	1.660885	0.314561
515	1.661272	0.314564
516	1.661657	0.314567
517	1.662041	0.314571
518	1.662423	0.314575
519	1.662804	0.31458
520	1.663182	0.314586
521	1.663559	0.314592
522	1.663935	0.314599
523	1.664309	0.314606
524	1.664681	0.314615
525	1.665052	0.314624
526	1.665421	0.314633
527	1.66579	0.314643
528	1.666156	0.314655
529	1.666522	0.314666
530	1.666886	0.314679
531	1.667249	0.314693
532	1.66761	0.314707
533	1.667971	0.314722
534	1.66833	0.314738
535	1.668689	0.314755
536	1.669046	0.314772
537	1.669403	0.314791
538	1.669759	0.31481
539	1.670114	0.31483
540	1.670468	0.31485
541	1.670822	0.314872
542	1.671175	0.314894
543	1.671527	0.314916
544	1.671878	0.314939
545	1.672229	0.314963
546	1.672579	0.314987
547	1.672929	0.315012
548	1.673278	0.315037
549	1.673626	0.315063
550	1.673974	0.315089
551	1.674321	0.315115
552	1.674668	0.315142
553	1.675014	0.31517
554	1.67536	0.315197
555	1.675705	0.315225
556	1.67605	0.315254
557	1.676394	0.315282
558	1.676738	0.315311
559	1.677081	0.315341
560	1.677424	0.31537
561	1.677766	0.3154
562	1.678108	0.31543
563	1.678449	0.31546
564	1.67879	0.31549
565	1.679131	0.315521
566	1.679471	0.315552
567	1.67981	0.315582
568	1.680149	0.315613
569	1.680488	0.315645
570	1.680826	0.315676
571	1.681164	0.315707
572	1.681502	0.315738
573	1.681838	0.31577
574	1.682175	0.315801
575	1.682511	0.315833
576	1.682847	0.315864
577	1.683182	0.315896
578	1.683517	0.315928
579	1.683851	0.315959
580	1.684185	0.315991
581	1.684518	0.316022
582	1.684851	0.316054
583	1.685184	0.316085
584	1.685516	0.316117
585	1.685848	0.316148
586	1.686179	0.31618
587	1.68651	0.316211
588	1.68684	0.316242
589	1.68717	0.316273
590	1.6875	0.316304
591	1.687829	0.316335
592	1.688157	0.316366
593	1.688485	0.316396
594	1.688813	0.316427
595	1.68914	0.316457
596	1.689467	0.316487
597	1.689793	0.316517
598	1.690119	0.316547
599	1.690444	0.316577
600	1.690769	0.316606
601	1.691093	0.316636
602	1.691417	0.316665
603	1.69174	0.316694
604	1.692063	0.316723
605	1.692386	0.316751
