WAVE	R	T
aoi	0	
380	0.197631	0.2035376
381	0.1990921	0.2144317
382	0.2009113	0.2261756
383	0.203148	0.2387709
384	0.2058655	0.2522221
385	0.2091099	0.2664423
386	0.212929	0.2813695
387	0.2173562	0.2969162
388	0.2223999	0.3129606
389	0.2280557	0.3293879
390	0.2343003	0.346071
391	0.2410646	0.3628118
392	0.248279	0.3794928
393	0.2558651	0.3960091
394	0.2637102	0.4122462
395	0.2716214	0.4279694
396	0.27953	0.4432275
397	0.2873123	0.4579654
398	0.29481	0.4720881
399	0.3018664	0.4855165
400	0.3084509	0.4983521
401	0.3144727	0.5106022
402	0.3197795	0.5221621
403	0.3243478	0.5330986
404	0.3281806	0.5434862
405	0.3312515	0.5533359
406	0.333439	0.5624926
407	0.3348519	0.5711173
408	0.3355076	0.5792142
409	0.3353997	0.5867342
410	0.3345228	0.5935967
411	0.3329863	0.5999038
412	0.330837	0.605637
413	0.3280988	0.610688
414	0.3248604	0.6150536
415	0.3212673	0.618764
416	0.3176344	0.6220647
417	0.3141296	0.6252108
418	0.3106957	0.6282866
419	0.3073172	0.6313068
420	0.3039922	0.6342732
421	0.3007273	0.6371792
422	0.2975012	0.6400449
423	0.2943122	0.6428721
424	0.2911676	0.645654
425	0.2880631	0.648394
426	0.284991	0.6511002
427	0.2819512	0.6537725
428	0.2789536	0.6564015
429	0.2759888	0.6589963
430	0.2730546	0.661559
431	0.2701524	0.6640884
432	0.2672893	0.6665777
433	0.2644561	0.6690357
434	0.2616513	0.6714641
435	0.2588792	0.6738587
436	0.2561412	0.6762181
437	0.2534328	0.678547
438	0.2507542	0.6808452
439	0.2481108	0.6831075
440	0.2454988	0.6853377
441	0.2429165	0.6875373
442	0.2403646	0.6897062
443	0.2378447	0.691842
444	0.2353546	0.6939475
445	0.2328945	0.6960227
446	0.2304662	0.6980656
447	0.2280712	0.7000749
448	0.2257064	0.7020538
449	0.2233717	0.7040023
450	0.2210704	0.7059173
451	0.2187994	0.7078017
452	0.2165563	0.7096578
453	0.2143436	0.7114837
454	0.2121652	0.7132752
455	0.2100172	0.7150363
456	0.2078997	0.716767
457	0.2058138	0.7184663
458	0.2037609	0.7201327
459	0.2017365	0.7217706
460	0.1997406	0.72338
461	0.1977772	0.7249572
462	0.1958456	0.7265028
463	0.1939446	0.7280182
464	0.1920744	0.7295032
465	0.1902372	0.7309554
466	0.188431	0.7323771
467	0.1866556	0.7337685
468	0.1849107	0.7351296
469	0.1831936	0.736463
470	0.181507	0.7377663
471	0.179851	0.7390396
472	0.1782266	0.7402817
473	0.1766337	0.741493
474	0.1750713	0.7426742
475	0.1735393	0.7438256
476	0.1720391	0.7449458
477	0.1705697	0.7460359
478	0.1691305	0.7470964
479	0.1677217	0.7481271
480	0.1663428	0.7491284
481	0.1649904	0.7501035
482	0.1636681	0.7510493
483	0.1623761	0.7519653
484	0.1611147	0.7528517
485	0.159883	0.753709
486	0.1586808	0.7545375
487	0.157509	0.7553365
488	0.1563668	0.7561064
489	0.1552509	0.7568508
490	0.1541629	0.757568
491	0.1531048	0.7582559
492	0.1520757	0.758916
493	0.1510752	0.7595481
494	0.1501035	0.7601523
495	0.149161	0.7607284
496	0.1482468	0.761277
497	0.1473606	0.7617985
498	0.1465018	0.7622936
499	0.1456679	0.7627643
500	0.1448618	0.7632084
501	0.1440831	0.7636259
502	0.1433324	0.7640165
503	0.142609	0.7643812
504	0.1419125	0.7647197
505	0.1412429	0.7650324
506	0.1406005	0.7653193
507	0.1399844	0.7655807
508	0.1393943	0.7658176
509	0.1388271	0.7660322
510	0.1382859	0.7662219
511	0.1377705	0.7663874
512	0.1372805	0.7665284
513	0.1368162	0.7666451
514	0.1363771	0.7667381
515	0.1359627	0.7668074
516	0.135573	0.7668534
517	0.1352065	0.7668775
518	0.1348624	0.7668802
519	0.1345424	0.7668605
520	0.1342462	0.7668181
521	0.1339738	0.7667534
522	0.1337249	0.766667
523	0.1334989	0.7665587
524	0.1332962	0.7664288
525	0.1331163	0.7662778
526	0.1329587	0.7661057
527	0.1328233	0.7659131
528	0.1327088	0.7657011
529	0.1326147	0.7654701
530	0.1325421	0.7652192
531	0.1324909	0.7649485
532	0.1324609	0.7646582
533	0.1324518	0.7643488
534	0.1324632	0.7640204
535	0.1324952	0.7636733
536	0.1325466	0.7633083
537	0.1326173	0.7629257
538	0.1327075	0.7625253
539	0.1328169	0.7621074
540	0.1329454	0.7616721
541	0.1330928	0.7612198
542	0.1332585	0.7607509
543	0.1334426	0.7602653
544	0.1336448	0.7597635
545	0.1338648	0.7592457
546	0.1341025	0.758712
547	0.1343575	0.7581628
548	0.1346298	0.7575982
549	0.1349189	0.7570186
550	0.1352246	0.7564243
551	0.135547	0.7558152
552	0.1358856	0.7551916
553	0.1362401	0.7545542
554	0.1366105	0.7539027
555	0.1369964	0.7532376
556	0.1373976	0.7525591
557	0.1378141	0.7518673
558	0.1382454	0.7511626
559	0.1386913	0.7504451
560	0.1391517	0.7497151
561	0.1396264	0.7489728
562	0.1401151	0.7482183
563	0.1406175	0.7474521
564	0.1411335	0.7466743
565	0.1416629	0.7458849
566	0.1422055	0.7450844
567	0.1427609	0.7442729
568	0.1433292	0.7434506
569	0.1439099	0.7426178
570	0.144503	0.7417746
571	0.145108	0.7409213
572	0.145725	0.7400581
573	0.1463538	0.739185
574	0.1469939	0.7383025
575	0.1476453	0.7374107
576	0.1483078	0.7365096
577	0.1489812	0.7355997
578	0.1496652	0.734681
579	0.1503599	0.7337536
580	0.1510648	0.7328179
581	0.1517799	0.7318739
582	0.1525048	0.7309219
583	0.1532395	0.7299622
584	0.1539838	0.7289946
585	0.1547373	0.7280198
586	0.1555001	0.7270375
587	0.1562719	0.726048
588	0.1570527	0.7250517
589	0.157842	0.7240485
590	0.1586399	0.7230386
591	0.159446	0.7220223
592	0.1602603	0.7209996
593	0.1610826	0.7199709
594	0.1619126	0.7189362
595	0.1627504	0.7178954
596	0.1635956	0.7168492
597	0.1644481	0.7157974
598	0.1653078	0.7147402
599	0.1661745	0.7136778
600	0.167048	0.7126102
601	0.1679282	0.7115377
602	0.168815	0.7104605
603	0.1697082	0.7093784
604	0.1706076	0.708292
605	0.1715131	0.7072011
606	0.1724246	0.706106
607	0.1733417	0.7050069
608	0.1742646	0.7039036
609	0.1751931	0.7027965
610	0.1761269	0.7016857
611	0.177066	0.7005712
612	0.1780102	0.6994534
613	0.1789593	0.6983321
614	0.1799133	0.6972075
615	0.1808721	0.6960799
616	0.1818355	0.6949491
617	0.1828032	0.6938156
618	0.1837754	0.6926793
619	0.1847518	0.6915401
620	0.1857321	0.6903986
621	0.1867166	0.6892546
622	0.1877049	0.688108
623	0.1886969	0.6869594
624	0.1896927	0.6858085
625	0.1906919	0.6846555
626	0.1916945	0.6835008
627	0.1927004	0.682344
628	0.1937095	0.6811856
629	0.1947217	0.6800255
630	0.1957369	0.6788636
631	0.196755	0.6777005
632	0.1977758	0.6765359
633	0.1987993	0.67537
634	0.1998254	0.6742029
635	0.200854	0.6730346
636	0.2018849	0.6718653
637	0.2029182	0.6706949
638	0.2039537	0.6695236
639	0.2049912	0.6683517
640	0.2060308	0.667179
641	0.2070724	0.6660054
642	0.2081157	0.6648315
643	0.2091608	0.663657
644	0.2102076	0.662482
645	0.211256	0.6613066
646	0.2123059	0.660131
647	0.2133572	0.6589551
648	0.2144099	0.6577791
649	0.2154639	0.6566028
650	0.216519	0.6554267
651	0.2175753	0.6542506
652	0.2186326	0.6530744
653	0.2196909	0.6518985
654	0.2207501	0.6507228
655	0.2218101	0.6495474
656	0.222871	0.6483722
657	0.2239325	0.6471974
658	0.2249945	0.6460232
659	0.2260573	0.6448493
660	0.2271205	0.6436759
661	0.2281841	0.6425033
662	0.2292482	0.6413312
663	0.2303125	0.6401597
664	0.2313772	0.6389891
665	0.232442	0.6378192
666	0.2335069	0.6366502
667	0.234572	0.6354821
668	0.235637	0.6343148
669	0.236702	0.6331486
670	0.237767	0.6319833
671	0.2388319	0.6308191
672	0.2398965	0.6296561
673	0.2409609	0.6284941
674	0.2420251	0.6273332
675	0.2430889	0.6261737
676	0.2441523	0.6250153
677	0.2452153	0.6238583
678	0.2462778	0.6227026
679	0.2473398	0.6215482
680	0.2484012	0.6203953
681	0.2494621	0.6192437
682	0.2505223	0.6180936
683	0.2515818	0.616945
684	0.2526406	0.6157979
685	0.2536986	0.6146524
686	0.2547558	0.6135084
687	0.2558122	0.6123661
688	0.2568677	0.6112254
689	0.2579222	0.6100864
690	0.2589758	0.608949
691	0.2600284	0.6078135
692	0.2610799	0.6066796
693	0.2621305	0.6055474
694	0.2631799	0.6044172
695	0.2642282	0.6032887
696	0.2652753	0.602162
697	0.2663213	0.6010372
698	0.267366	0.5999143
699	0.2684095	0.5987934
700	0.2694517	0.5976743
701	0.2704925	0.5965572
702	0.2715321	0.5954421
703	0.2725703	0.594329
704	0.2736071	0.5932179
705	0.2746425	0.5921088
706	0.2756764	0.5910017
707	0.2767089	0.5898967
708	0.2777399	0.5887938
709	0.2787693	0.5876929
710	0.2797973	0.5865943
711	0.2808237	0.5854976
712	0.2818485	0.5844032
713	0.2828716	0.5833109
714	0.2838932	0.5822208
715	0.2849132	0.5811329
716	0.2859314	0.5800471
717	0.2869479	0.5789636
718	0.2879628	0.5778823
719	0.288976	0.5768032
720	0.2899874	0.5757263
721	0.290997	0.5746518
722	0.2920049	0.5735794
723	0.293011	0.5725094
724	0.2940152	0.5714416
725	0.2950177	0.5703761
726	0.2960184	0.569313
727	0.2970171	0.5682521
728	0.2980139	0.5671936
729	0.299009	0.5661374
730	0.3000021	0.5650835
731	0.3009933	0.564032
732	0.3019825	0.5629829
733	0.3029699	0.561936
734	0.3039553	0.5608916
735	0.3049387	0.5598495
736	0.3059202	0.5588098
737	0.3068997	0.5577725
738	0.3078772	0.5567375
739	0.3088526	0.555705
740	0.3098261	0.5546749
741	0.3107976	0.5536471
742	0.3117669	0.5526218
743	0.3127343	0.5515989
